价格变动贡献度,资金变动,持仓量变化,MA_60,MA_40,MA_30,MA_20,MA_10,MA_5,分类
-42.90111188175909,-2.545521430766243,-2.7690266960205387,0.0,0.0,0.0,0.0,-9.953261038653617,-11.823827159266925,0.0
10.123083301402602,-2.3689842487235424,-2.5383768096050403,0.0,0.0,0.0,0.0,-10.581480730333935,-12.824604996407226,1.0
29.873751789072827,2.9987963775730577,2.69930477113963,0.0,0.0,0.0,0.0,-11.068276837073533,-13.127623883816971,1.0
-20.031177451409565,-8.96907623610096,-8.894615345463635,0.0,0.0,0.0,-8.912353627139595,-11.52742659154248,-13.273026880007519,0.0
-47.42866425552013,-8.785773746223072,-9.271599215785292,0.0,0.0,0.0,-9.630498251189195,-12.330407877835016,-14.096221820489195,0.0
35.799548918703834,35.387648204690855,34.940627753487064,0.0,0.0,0.0,-10.03114882466465,-12.881267297963767,-14.059862841093226,1.0
-17.331404812828247,9.658542021400473,9.370939548741296,0.0,0.0,0.0,-10.475922366209659,-13.48424290807374,-14.272230940828932,0.0
-18.132615431853992,12.524140158520288,12.310161368271244,0.0,0.0,0.0,-10.997020885893074,-13.905345824865933,-14.815005997535842,0.0
20.032068588332127,-5.561353524533316,-5.756237445145366,0.0,0.0,0.0,-11.447176000661592,-14.104340281012128,-15.06922920510334,1.0
42.57621018686177,15.566909752272522,14.760308171795629,0.0,0.0,0.0,-11.77746774754742,-14.137367585052068,-14.314515219995402,1.0
-39.69105008983127,1.574334209604686,1.314159054643703,0.0,0.0,0.0,-12.19762227545742,-14.113527442245756,-14.302949774800055,0.0
3.0091849964335116,-0.07650528608900231,-0.2929815232307931,0.0,0.0,0.0,-12.507022845567596,-14.106528378770108,-14.0765278292439,1.0
32.248308611413606,8.809807875867136,8.264496173492184,0.0,0.0,0.0,-12.742406402197835,-14.09249609008944,-13.504443449375836,1.0
-15.836830438188358,4.290198813429356,3.958177364739555,0.0,0.0,-10.854509876837321,-12.968346268092036,-14.087137362804008,-13.238376471683614,0.0
-35.06676735365157,12.324472363079385,12.00783482859611,0.0,0.0,-11.286192457105653,-13.293445632936098,-13.937565954970912,-13.694420562852564,0.0
-24.97078191943254,-2.637877043396749,-2.9298907126429237,0.0,0.0,-11.588418490234993,-13.61748961886844,-14.036944978736415,-13.905873667967718,0.0
8.260025927475787,7.302916624748549,7.035074907882907,0.0,0.0,-11.892526121732724,-13.926555429241764,-14.054184397676279,-14.167042844191377,1.0
-7.6335502317693065,2.371823111594616,2.10367180349008,0.0,0.0,-12.252410839128366,-14.152020745009557,-14.08532543999558,-14.80062008662808,0.0
-1.0896910414607746,-10.235952513001152,-10.5581465930521,0.0,0.0,-12.581785704061735,-14.292190167743053,-14.167401452816208,-15.230098770558813,1.0
-25.23486542801076,-1.3085408237873963,-1.6687164129584175,0.0,0.0,-12.938269851344993,-14.509158749502669,-14.569297424528447,-15.581865954074168,0.0
10.428640217034355,6.731170601538025,6.5476832802941445,0.0,0.0,-13.280940791726046,-14.588004524927015,-14.75107868259864,-15.735827497253444,1.0
38.27842223413633,3.4134092797138607,3.138942089594444,0.0,0.0,-13.523295190395714,-14.636555858426814,-14.855318532540645,-15.684924964465267,1.0
-8.833902800856919,-12.036510578453527,-12.320396628689725,0.0,0.0,-13.771945211941706,-14.764671058497484,-15.125862938407032,-15.596373574314278,0.0
-3.4439714608913405,-18.486459395403703,-18.789538462622247,0.0,-11.930983425102289,-13.991782894750346,-14.863763877407932,-15.329550529002633,-15.576685355781677,0.0
-15.296815281969586,-25.547533186354137,-26.021060611912237,0.0,-12.282471159604109,-14.242361995171775,-14.838106762516944,-15.427179011696547,-15.421210293857785,0.0
-28.793968187781964,48.127516006047294,48.28428560441528,0.0,-12.533860065722074,-14.489409439947105,-14.932183241262633,-15.516432604986337,-15.446575618313894,0.0
34.687452721067984,11.825177083727036,11.467987697437225,0.0,-12.749010604462008,-14.676942112783358,-14.911736966633285,-15.45836493471383,-15.380768920148682,1.0
-6.248268907129607,-7.007685618717915,-7.1990673051111855,0.0,-12.995308448097262,-14.793997246198893,-14.876597838937757,-15.3570389177095,-15.265664962437134,0.0
-17.928214747327317,-1.4666351239910114,-1.749280239384028,0.0,-13.24221968837697,-14.885052065743274,-14.913173167916668,-15.348462613919564,-15.268129058633376,0.0
4.8975813778545065,0.8924815624417306,0.6208863113752372,0.0,-13.478155389267442,-14.986176713346607,-15.047349325995029,-15.216348750859261,-15.158106946418785,1.0
-7.088378053545682,0.7783029859046806,0.4972538121113885,0.0,-13.722082965800778,-15.018938183338832,-15.108000676667821,-15.156384597170133,-15.012126900692678,0.0
-5.730485715901616,13.301739108616529,13.177001572296312,0.0,-13.929973701350667,-15.083806476787592,-15.208076234105455,-15.252825236964192,-15.271906777174554,0.0
-47.5790935472934,18.40121205470963,19.165220274940356,0.0,-14.205458159114029,-15.284727535191793,-15.514164665182307,-15.596019404556179,-16.076169270051142,0.0
-17.57457934766579,-8.651211016818685,-9.725975079356672,0.0,-14.468027113345904,-15.477902747415428,-15.804297479329648,-15.973966624643774,-16.831508052210253,0.0
-15.98932489154555,10.922551849286592,11.426763753028979,0.0,-14.75974105688156,-15.595332679086304,-16.053146454426525,-16.374910196132372,-17.74275989510839,0.0
-0.12264738598704385,4.530341404406401,4.466030943365382,0.0,-15.034802163104734,-15.774606621540771,-16.27047467071793,-16.720925255329554,-18.577141108589217,1.0
-7.695444399433177,-4.723219182518292,-5.66046434226287,0.0,-15.317423756340895,-15.946532989461085,-16.517507204983986,-17.272482455710712,-19.419250967458233,0.0
